CatID,Used,Age,Fire_Cat,HR_Area,Ave_Wet,Prec_Tree,dist2build,Veg_Class
102,0,3,U,2.81E+08,-0.033819,4,4259.340845,Marsh_Shrub
102,0,3,U,2.81E+08,0.012194,32,4946.758162,Marsh_Shrub
102,0,3,U,2.81E+08,-0.079013,79,1221.253075,Marsh_Shrub
102,0,3,B,2.81E+08,0.082687,50,606.4409512,Marsh_Shrub
102,0,3,U,2.81E+08,0.046899,12,1530.587447,Marsh_Shrub
102,0,3,U,2.81E+08,0.143908,37,1522.881281,Marsh_Shrub
102,0,3,U,2.81E+08,-0.057842,24,2704.93468,Marsh_Shrub
102,0,3,U,2.81E+08,-0.000882,18,3003.901739,Marsh_Shrub
102,0,3,C,2.81E+08,0.143207,9,50.78056492,Marsh_Shrub
102,0,3,U,2.81E+08,0.144659,14,2565.659632,Marsh_Shrub
102,0,3,U,2.81E+08,0.217385,26,4027.698626,Marsh_Shrub
102,0,3,D,2.81E+08,0.119063,20,11.16380158,Marsh_Shrub
102,0,3,U,2.81E+08,-0.06014,2,4869.971197,Marsh_Shrub
102,0,3,U,2.81E+08,0.028864,33,682.8499476,Marsh_Shrub
102,0,3,U,2.81E+08,-0.04572,18,4016.169527,Marsh_Shrub
102,0,3,U,2.81E+08,-0.055895,22,5731.166548,Marsh_Shrub
102,0,3,U,2.81E+08,0.106001,2,735.0812099,Marsh_Shrub
102,0,3,U,2.81E+08,0.124132,9,13.43042218,Marsh_Shrub
102,0,3,U,2.81E+08,-0.03256,80,2068.680585,Marsh_Shrub
102,0,3,U,2.81E+08,-0.092948,79,2277.674061,Marsh_Shrub
102,0,3,U,2.81E+08,0.126787,6,2499.243157,Marsh_Shrub
102,0,3,U,2.81E+08,-0.018288,24,1352.401159,Marsh_Shrub
102,0,3,U,2.81E+08,-0.217995,0,2055.421633,Marsh_Shrub
102,0,3,U,2.81E+08,0.166652,37,2136.845933,Marsh_Shrub
102,0,3,U,2.81E+08,0.097717,30,1100.676243,Marsh_Shrub
102,0,3,U,2.81E+08,-0.021336,2,5406.556388,Marsh_Shrub
102,0,4,D,2.24E+08,0.160223,61,4336.418637,Marsh_Shrub
102,0,4,U,2.24E+08,-0.056168,69,2407.656552,Marsh_Shrub
102,0,4,U,2.24E+08,0.015193,19,292.1420303,Marsh_Shrub
102,0,4,B,2.24E+08,0.156376,2,578.5155366,Marsh_Shrub
102,0,4,U,2.24E+08,-0.146922,44,1888.257306,Marsh_Shrub
102,0,4,B,2.24E+08,0.116557,6,880.8219337,Marsh_Shrub
102,0,4,U,2.24E+08,-0.072038,27,5027.721108,Marsh_Shrub
102,0,4,U,2.24E+08,-0.04644,28,4025.820051,Marsh_Shrub
102,0,4,U,2.24E+08,0.143908,17,1791.185934,Marsh_Shrub
102,0,4,U,2.24E+08,0.162464,1,338.2762203,Marsh_Shrub
102,0,4,U,2.24E+08,-0.217324,15,1647.499571,Marsh_Shrub
102,0,4,U,2.24E+08,0.085344,21,1306.608258,Marsh_Shrub
102,0,4,U,2.24E+08,0.126787,3,2663.285063,Marsh_Shrub
102,0,4,C,2.24E+08,-0.033528,14,2253.568342,Marsh_Shrub
102,0,4,U,2.24E+08,0.309808,23,142.1262606,Marsh_Shrub
102,0,4,U,2.24E+08,0.051816,32,2120.926294,Marsh_Shrub
102,0,4,U,2.24E+08,-0.062459,16,5060.330417,Marsh_Shrub
102,0,4,U,2.24E+08,0.299566,1,210.7809186,Marsh_Shrub
102,0,4,U,2.24E+08,-0.045919,26,1102.626829,Marsh_Shrub
102,0,4,B,2.24E+08,0.1235,11,311.3137962,Marsh_Shrub
102,0,4,U,2.24E+08,0.177831,2,3161.983609,Marsh_Shrub
102,0,4,B,2.24E+08,0.159035,2,299.4334661,Marsh_Shrub
102,0,4,U,2.24E+08,-0.137813,76,2033.501291,Marsh_Shrub
102,0,6,A,2.29E+08,0.129138,31,73.55857149,Marsh_Shrub
102,0,6,U,2.29E+08,0.025887,4,1795.610701,Marsh_Shrub
102,0,6,U,2.29E+08,-0.000882,1,2705.089459,Marsh_Shrub
102,0,6,U,2.29E+08,-0.10259,17,1116.764958,Marsh_Shrub
102,0,6,B,2.29E+08,0.126405,31,2274.915433,Marsh_Shrub
102,0,6,U,2.29E+08,0.085344,13,1558.133801,Marsh_Shrub
102,0,6,U,2.29E+08,0.004286,65,3089.572947,Marsh_Shrub
102,0,6,A,2.29E+08,0.159502,26,5455.71622,Marsh_Shrub
102,0,6,A,2.29E+08,0.118546,18,3.942528966,Marsh_Shrub
102,0,6,A,2.29E+08,0.168791,68,230.6306564,Marsh_Shrub
102,0,6,U,2.29E+08,-0.042256,25,1238.71148,Marsh_Shrub
102,0,6,B,2.29E+08,0.082296,37,1229.911344,Marsh_Shrub
102,0,6,U,2.29E+08,0.184558,10,472.8794448,Marsh_Shrub
102,0,6,U,2.29E+08,-0.021336,18,5405.307118,Marsh_Shrub
102,0,6,U,2.29E+08,-0.186854,7,2852.989879,Marsh_Shrub
102,0,6,U,2.29E+08,-0.077009,44,3296.800199,Marsh_Shrub
102,0,6,U,2.29E+08,-0.099118,31,2553.517611,Marsh_Shrub
102,0,6,U,2.29E+08,-0.011856,31,307.2703527,Marsh_Shrub
102,0,6,D,2.29E+08,0.156376,15,328.6200593,Marsh_Shrub
102,0,6,U,2.29E+08,-0.221606,78,797.5213848,Marsh_Shrub
102,0,6,U,2.29E+08,-0.103569,76,1453.834293,Marsh_Shrub
102,0,6,U,2.29E+08,-0.10259,44,1132.686171,Marsh_Shrub
102,0,6,U,2.29E+08,0.176784,1,1830.045049,Marsh_Shrub
102,0,6,U,2.29E+08,0.051816,0,2811.258063,Marsh_Shrub
102,0,6,U,2.29E+08,-0.006096,28,102.261959,Marsh_Shrub
102,0,6,U,2.29E+08,-0.071886,44,4439.198572,Marsh_Shrub
102,0,6,U,2.29E+08,0.161254,2,4201.409454,Marsh_Shrub
102,0,6,U,2.29E+08,0.124132,1,58.98084594,Marsh_Shrub
102,0,6,U,2.29E+08,-0.033528,3,1966.823906,Marsh_Shrub
102,0,8,U,3.27E+08,0.140492,38,3187.713687,Marsh_Shrub
102,0,8,U,3.27E+08,0.109728,42,6880.438793,Marsh_Shrub
102,0,8,U,3.27E+08,-0.164873,52,1254.421047,Marsh_Shrub
102,0,8,U,3.27E+08,0.057915,18,6205.305352,Marsh_Shrub
102,0,8,U,3.27E+08,-0.177037,0,4059.941613,Marsh_Shrub
102,0,8,U,3.27E+08,-0.128348,27,2053.099,Marsh_Shrub
102,0,8,C,3.27E+08,0.190368,17,182.2459897,Marsh_Shrub
102,0,8,U,3.27E+08,-0.021497,16,3562.722167,Marsh_Shrub
102,0,8,U,3.27E+08,0.100659,2,66.64206418,Marsh_Shrub
102,0,8,U,3.27E+08,0.126787,0,2723.737589,Marsh_Shrub
102,0,8,U,3.27E+08,0.057604,80,831.7400218,Marsh_Shrub
102,0,8,U,3.27E+08,0.18315,2,3318.792728,Marsh_Shrub
102,0,8,U,3.27E+08,0.051816,2,2966.249733,Marsh_Shrub
102,0,8,U,3.27E+08,-0.059074,14,4041.034021,Marsh_Shrub
102,0,8,U,3.27E+08,-0.19692,64,4019.067315,Marsh_Shrub
102,0,8,U,3.27E+08,0.10668,4,569.0076931,Marsh_Shrub
102,0,8,C,3.27E+08,0.137109,9,732.1956175,Marsh_Shrub
102,0,8,U,3.27E+08,-0.146528,1,5831.889438,Marsh_Shrub
102,0,8,U,3.27E+08,0.106001,5,724.455046,Marsh_Shrub
102,0,8,U,3.27E+08,-0.099118,8,2849.341914,Marsh_Shrub
102,0,8,U,3.27E+08,-0.103569,64,1910.988659,Marsh_Shrub
102,0,8,U,3.27E+08,-0.13716,2,2171.17484,Marsh_Shrub
102,0,8,U,3.27E+08,-0.062459,56,5024.822713,Marsh_Shrub
102,0,8,C,3.27E+08,0.307277,11,1322.759165,Marsh_Shrub
102,0,8,U,3.27E+08,0.162464,23,56.08283156,Marsh_Shrub
102,0,8,U,3.27E+08,-0.056168,61,3189.992364,Marsh_Shrub
102,0,8,U,3.27E+08,-0.092948,1,1655.406671,Marsh_Shrub
102,0,8,U,3.27E+08,-0.057842,61,1900.141245,Marsh_Shrub
102,0,8,U,3.27E+08,0.098267,32,2822.117666,Marsh_Shrub
102,0,8,U,3.27E+08,-0.000882,12,2985.791825,Marsh_Shrub
102,0,8,U,3.27E+08,0.0576,37,5333.581008,Marsh_Shrub
102,0,8,U,3.27E+08,0.130624,21,1281.696255,Marsh_Shrub
102,0,8,U,3.27E+08,0.176784,3,1506.387817,Marsh_Shrub
102,0,8,B,3.27E+08,-0.103569,22,1560.81763,Marsh_Shrub
102,0,12,B,2.46E+08,0.142602,58,4725.670275,Marsh_Shrub
102,0,12,U,2.46E+08,-0.060122,0,6064.140864,Marsh_Shrub
102,0,12,U,2.46E+08,0.107992,5,324.2724373,Marsh_Shrub
102,0,12,A,2.46E+08,-0.029085,52,4696.282765,Marsh_Shrub
102,0,12,U,2.46E+08,-0.053047,72,3099.850977,Marsh_Shrub
102,0,12,B,2.46E+08,-0.057912,50,5869.110786,Marsh_Shrub
102,0,12,A,2.46E+08,0.166227,15,504.5435458,Marsh_Shrub
102,0,12,B,2.46E+08,-0.186854,25,2877.097077,Marsh_Shrub
102,0,12,U,2.46E+08,-0.146922,0,1838.819812,Marsh_Shrub
102,0,12,B,2.46E+08,0.309808,77,46.28042524,Marsh_Shrub
102,0,12,B,2.46E+08,0.100584,29,496.3036964,Marsh_Shrub
102,0,12,U,2.46E+08,-0.183556,1,2344.596556,Marsh_Shrub
102,0,12,B,2.46E+08,-0.217995,20,2193.707513,Marsh_Shrub
102,0,12,U,2.46E+08,0.190368,7,28.4149316,Marsh_Shrub
102,0,12,A,2.46E+08,-0.001803,32,5276.905656,Marsh_Shrub
102,0,12,B,2.46E+08,0.1235,13,563.2552905,Marsh_Shrub
102,0,12,A,2.46E+08,-0.059074,2,4642.301886,Marsh_Shrub
102,0,12,B,2.46E+08,-0.025814,12,2015.091424,Marsh_Shrub
102,0,12,B,2.46E+08,0.122638,75,2564.894715,Marsh_Shrub
102,0,12,A,2.46E+08,0.137109,10,251.5413622,Marsh_Shrub
102,0,12,B,2.46E+08,-0.062459,41,4512.325015,Marsh_Shrub
102,0,12,U,2.46E+08,0.003322,25,0,Marsh_Shrub
102,0,12,B,2.46E+08,0.126405,7,2407.218117,Marsh_Shrub
102,0,12,B,2.46E+08,0.118546,1,322.3069425,Marsh_Shrub
102,0,12,U,2.46E+08,0.12605,2,511.3015238,Marsh_Shrub
102,0,12,B,2.46E+08,-0.186854,0,3061.763503,Marsh_Shrub
102,0,12,B,2.46E+08,-0.045919,24,1896.887466,Marsh_Shrub
102,0,12,B,2.46E+08,0.098267,0,2978.759374,Marsh_Shrub
102,0,12,B,2.46E+08,0.047262,7,357.2938294,Marsh_Shrub
102,0,12,C,2.46E+08,0.16524,2,2752.777613,Marsh_Shrub
102,0,12,B,2.46E+08,-0.102913,9,2903.323587,Marsh_Shrub
102,0,12,B,2.46E+08,0.140492,35,3569.724788,Marsh_Shrub
102,0,12,U,2.46E+08,0.177831,20,3184.183363,Marsh_Shrub
102,0,12,B,2.46E+08,0.1235,3,360.4691008,Marsh_Shrub
103,0,7,U,3.08E+08,0.067056,56,6316.380451,Marsh_Shrub
103,0,7,U,3.08E+08,0.341466,28,6808.962114,Marsh_Shrub
103,0,7,U,3.08E+08,0.179832,0,1936.314801,Marsh_Shrub
103,0,7,U,3.08E+08,0.160456,40,1719.605534,Marsh_Shrub
103,0,7,U,3.08E+08,-0.006928,16,286.0280082,Marsh_Shrub
103,0,7,U,3.08E+08,0.166704,13,1527.636031,Marsh_Shrub
103,0,7,A,3.08E+08,-0.159161,59,2748.094843,Marsh_Shrub
103,0,7,U,3.08E+08,0.14458,0,44.52467899,Marsh_Shrub
103,0,7,U,3.08E+08,0.277368,22,6028.362116,Marsh_Shrub
103,0,7,U,3.08E+08,0.289911,29,1770.524197,Marsh_Shrub
103,0,7,A,3.08E+08,0.0278,18,588.455969,Marsh_Shrub
103,0,7,U,3.08E+08,0.246888,29,1017.756224,Marsh_Shrub
103,0,7,A,3.08E+08,-0.065278,20,3719.34348,Marsh_Shrub
103,0,7,U,3.08E+08,-0.024416,20,2654.562255,Marsh_Shrub
103,0,7,U,3.08E+08,0.429768,35,8466.683938,Marsh_Shrub
103,0,7,U,3.08E+08,0.246888,0,3318.369579,Marsh_Shrub
103,0,7,C,3.08E+08,-0.024416,35,2484.811764,Marsh_Shrub
103,0,7,U,3.08E+08,0.177511,1,1680.396241,Marsh_Shrub
103,0,7,U,3.08E+08,0.118685,48,6129.729315,Marsh_Shrub
103,0,7,U,3.08E+08,0.188117,11,608.3067668,Marsh_Shrub
103,0,7,U,3.08E+08,0.147776,37,2329.252042,Marsh_Shrub
103,0,7,U,3.08E+08,0.114032,17,1445.19483,Marsh_Shrub
103,0,7,U,3.08E+08,0.453873,43,8450.283712,Marsh_Shrub
103,0,7,U,3.08E+08,0.151442,54,4140.523058,Marsh_Shrub
103,0,7,U,3.08E+08,0.486119,13,2769.840562,Marsh_Shrub
103,0,7,U,3.08E+08,0.087232,20,5630.194857,Marsh_Shrub
103,0,7,U,3.08E+08,0.188117,25,68.25303089,Marsh_Shrub
103,0,7,U,3.08E+08,0.19954,73,5660.091707,Marsh_Shrub
103,0,7,U,3.08E+08,0.177511,19,1412.53593,Marsh_Shrub
103,0,7,U,3.08E+08,0.136501,0,503.5566477,Marsh_Shrub
103,0,7,A,3.08E+08,-0.003413,21,1005.576548,Marsh_Shrub
103,0,7,U,3.08E+08,0.192497,12,567.6621164,Marsh_Shrub
103,0,7,U,3.08E+08,0.168052,2,1862.016187,Marsh_Shrub
103,0,7,U,3.08E+08,0.246888,18,1275.883255,Marsh_Shrub
103,0,7,U,3.08E+08,0.157789,65,4209.785886,Marsh_Shrub
103,0,7,A,3.08E+08,0.127353,41,1290.588472,Marsh_Shrub
103,0,7,U,3.08E+08,0.232351,51,5382.154956,Marsh_Shrub
103,0,7,U,3.08E+08,0.118872,18,1113.348313,Marsh_Shrub
103,0,7,U,3.08E+08,0.109159,1,1487.516886,Marsh_Shrub
103,0,7,U,3.08E+08,0.164228,48,4024.740219,Marsh_Shrub
103,0,7,U,3.08E+08,0.128016,4,2045.535691,Marsh_Shrub
103,0,7,U,3.08E+08,0.192024,2,2643.682151,Marsh_Shrub
103,0,7,U,3.08E+08,0.493422,45,3768.26069,Marsh_Shrub
103,0,7,U,3.08E+08,-0.01023,78,1678.08715,Marsh_Shrub
103,0,7,U,3.08E+08,0.026868,61,4120.542071,Marsh_Shrub
103,0,7,U,3.08E+08,0.091127,55,2271.161856,Marsh_Shrub
103,0,7,U,3.08E+08,0.153094,1,610.5498035,Marsh_Shrub
103,0,7,U,3.08E+08,0.222579,1,563.08086,Marsh_Shrub
103,0,7,U,3.08E+08,0.151069,23,3766.923694,Marsh_Shrub
103,0,7,U,3.08E+08,0.45671,16,2305.644723,Marsh_Shrub
