CLC_STATE,Specific Class ,Combined,Combined.1
2120,Marshes,Marsh-Shrub-Swamp,Marsh-Shrub-Swamp
2211,Cypress,Wetland Forest,Wetland Forest
2110,Praireies and Bogs,Prairie-Grassland,Prairie-Grassland
2221,Wet Flatwood,Upland Forest,Upland Forest
2200,Freshwater Forested Wetlands,Wetland Forest,Wetland Forest
1311,Mesic Flatwoods,Wetland Forest,Wetland Forest
2213,Isolaed Freshwater Swamp,Marsh-Shrub-Swamp,Marsh-Shrub-Swamp
2210,Cypress/Tupelo,Wetland Forest,Wetland Forest
2220,Other Coniferous Wetlands,Wetland Forest,Wetland Forest
1340,Palmetto Prairie,Prairie-Grassland,Prairie-Grassland
22131,Dome Swamp,Wetland Forest,Wetland Forest
1130,Rockland Swamp,Wetland Forest,Wetland Forest
2230,Other Hardwood Wetlands,Wetland Forest,Wetland Forest
1320,Pine Rockland,Upland Forest,Upland Forest
1500,Shrub and Brushlands,Marsh-Shrub-Swamp,Marsh-Shrub-Swamp
2232,Hydric Hammock,Upland Forest,Upland Forest
1120,Mesic Hammock,Upland Forest,Upland Forest
1830,Rural,Other,Human Modified
2214,Strand Swamp,Wetland Forest,Wetland Forest
1840,Transportation,Other,Human Modified
2231,Baygall,Other,Other
5250,Mangrove Swamp,Other,Other
4200,Cultural-Riverine,Other,Human Modified
5240,Salt Marsh,Other,Other
183313,Improved Pasture,Prairie-Grassland,Prairie-Grassland
7000,Exotic Plants,Other,Other
5252,Scrub Mangrove,Other,Other
1880,Bare Soil/Clear Cut,Other,Human Modified
2121,Isolated Freshwater Marsh,Marsh-Shrub-Swamp,Marsh-Shrub-Swamp
1822,High Intesnity Urban,Other,Human Modified
5300,Cultural-Estuarine,Other,Human Modified
4000,Riverine,Other,Other
3200,Cultural-Lacustrine,Other,Human Modified
2100,Freshwater Non-Forested Wetlands,Marsh-Shrub-Swamp,Marsh-Shrub-Swamp
1800,Cultural-Terrstrial,Other,Human Modified
5000,Estuarine,Other,Other
