system:index,Ave_Wet,CLC_STATE,Den_ID,Fire_Cat,Prec_Tree,dist2build,used,.geo
00000000000000002241,0.017014,1311,FP049,B,86,2958.565676048564,0.0,"{""type"":""Point"",""coordinates"":[-81.04592150163977,26.196213085208058]}"
00000000000000002242,-0.012424,1311,FP049,B,72,2133.831436904245,0.0,"{""type"":""Point"",""coordinates"":[-81.06057886287819,26.188431103470602]}"
00000000000000002243,-0.128016,1311,FP049,B,71,3987.2807516606485,0.0,"{""type"":""Point"",""coordinates"":[-81.01929813003757,26.206111249213233]}"
00000000000000002244,-0.06542,1311,FP049,B,79,3364.1542119404544,0.0,"{""type"":""Point"",""coordinates"":[-81.05204398277436,26.19972949788387]}"
00000000000000002249,0.02437,1311,FP049,B,60,2956.325666403198,0.0,"{""type"":""Point"",""coordinates"":[-81.02919836687153,26.196571542110235]}"
0000000000000000224a,-0.128016,1311,FP049,B,74,4378.671787711808,0.0,"{""type"":""Point"",""coordinates"":[-81.02319427278265,26.2095574522675]}"
0000000000000000224b,-0.078222,1311,FP049,B,78,4474.424419028825,0.0,"{""type"":""Point"",""coordinates"":[-81.05224719324093,26.20975152909991]}"
0000000000000000224f,-0.100584,1311,FP049,B,66,4908.809759226312,0.0,"{""type"":""Point"",""coordinates"":[-81.04377186967143,26.213864493388215]}"
00000000000000002250,0.115146,1311,FP049,B,55,2737.3864442481135,0.0,"{""type"":""Point"",""coordinates"":[-81.02409057940736,26.194716872033197]}"
00000000000000002253,-0.100506,1311,FP049,B,89,4995.3773319674965,0.0,"{""type"":""Point"",""coordinates"":[-81.03901680994458,26.21476229265814]}"
00000000000000002257,0.02437,1311,FP049,B,43,3092.880706695152,0.0,"{""type"":""Point"",""coordinates"":[-81.02324165343924,26.197935205412097]}"
00000000000000002258,0.115146,1311,FP049,B,66,2640.851955296762,0.0,"{""type"":""Point"",""coordinates"":[-81.0278115391484,26.193734606690597]}"
0000000000000000225a,-0.051499,1311,FP049,B,76,3424.0234371452,0.0,"{""type"":""Point"",""coordinates"":[-81.04951034137723,26.200335483918803]}"
0000000000000000225b,-0.070916,1311,FP049,B,34,3557.263057938853,0.0,"{""type"":""Point"",""coordinates"":[-81.06637389943607,26.20144923130766]}"
00000000000000002260,-0.128016,1311,FP049,B,91,4489.078802996398,0.0,"{""type"":""Point"",""coordinates"":[-81.02101810551555,26.21059764683378]}"
00000000000000002262,-0.116432,1311,FP049,B,90,4044.538301204661,0.0,"{""type"":""Point"",""coordinates"":[-81.03810965047222,26.206197138165045]}"
00000000000000002268,0.002019,1311,FP049,B,80,5392.888528633776,0.0,"{""type"":""Point"",""coordinates"":[-81.07259069010772,26.21940173417777]}"
000000000000000026e1,-0.085344,1311,FP049,B,90,4059.838503517838,0.0,"{""type"":""Point"",""coordinates"":[-81.04299838772988,26.231968117900706]}"
000000000000000026e3,-0.081526,1311,FP049,B,87,4053.510470912115,0.0,"{""type"":""Point"",""coordinates"":[-81.02943409376644,26.225140748679237]}"
000000000000000026f2,-0.085344,1311,FP049,B,86,4135.634005040793,0.0,"{""type"":""Point"",""coordinates"":[-81.04646681350073,26.230729967388417]}"
000000000000000026f9,-0.208706,1311,FP049,B,94,3479.707017161969,0.0,"{""type"":""Point"",""coordinates"":[-81.04824336456744,26.236430664168807]}"
00000000000000002706,-0.171692,1311,FP049,B,92,1002.2976647179485,0.0,"{""type"":""Point"",""coordinates"":[-81.01185430707416,26.24810527144542]}"
00000000000000002710,-0.284255,1311,FP049,B,89,1597.4098146092656,0.0,"{""type"":""Point"",""coordinates"":[-81.07844755848811,26.253610806366172]}"
00000000000000002711,-0.153261,1311,FP049,B,73,2125.038894877528,0.0,"{""type"":""Point"",""coordinates"":[-81.07699804651477,26.249008445774415]}"
00000000000000002713,-0.353568,1311,FP049,B,91,1501.185944664781,0.0,"{""type"":""Point"",""coordinates"":[-81.04789796802966,26.254659612801234]}"
0000000000000000271f,-0.214872,1311,FP049,B,63,3878.6371451379327,0.0,"{""type"":""Point"",""coordinates"":[-81.03752198601237,26.232946758653604]}"
00000000000000002720,-0.131473,1311,FP049,B,100,1280.095070916165,0.0,"{""type"":""Point"",""coordinates"":[-81.00154551284014,26.247254147078117]}"
0000000000000000272d,-0.089608,1311,FP049,B,65,2809.7626962496206,0.0,"{""type"":""Point"",""coordinates"":[-81.0813426992554,26.24247110507862]}"
0000000000000000272e,-0.085344,1311,FP049,B,78,4320.704581395038,1.0,"{""type"":""Point"",""coordinates"":[-81.04647605990198,26.228986411006748]}"
00000000000000002246,-0.004782,2110,FP049,B,20,2276.129958546933,0.0,"{""type"":""Point"",""coordinates"":[-81.05373369095913,26.189868115971223]}"
0000000000000000225e,0.280416,2110,FP049,B,47,1906.0516443603508,0.0,"{""type"":""Point"",""coordinates"":[-81.02939471916433,26.187091719675347]}"
0000000000000000225f,-0.116432,2110,FP049,B,49,4106.723511317649,0.0,"{""type"":""Point"",""coordinates"":[-81.03639065953678,26.206775781659076]}"
00000000000000002717,0.0201,2110,FP049,B,58,4420.409664824632,0.0,"{""type"":""Point"",""coordinates"":[-81.06185100420566,26.226694724626302]}"
00000000000000002729,-0.25901,2110,FP049,B,46,2648.301611696846,0.0,"{""type"":""Point"",""coordinates"":[-81.03464403593212,26.24831672578592]}"
0000000000000000224d,-0.100506,2120,FP049,B,19,4721.077722456746,0.0,"{""type"":""Point"",""coordinates"":[-81.03311507150976,26.22010201424433]}"
0000000000000000224e,-0.06542,2120,FP049,B,51,3325.036694629699,0.0,"{""type"":""Point"",""coordinates"":[-81.05423984010616,26.199325292211498]}"
00000000000000002261,-0.020754,2120,FP049,B,65,5390.423988208621,0.0,"{""type"":""Point"",""coordinates"":[-81.06332723990066,26.21802112878318]}"
000000000000000026ee,-0.081526,2120,FP049,B,39,4219.413688356846,0.0,"{""type"":""Point"",""coordinates"":[-81.03741620934068,26.228540840483706]}"
0000000000000000270a,-0.353568,2120,FP049,B,69,1965.484573118911,0.0,"{""type"":""Point"",""coordinates"":[-81.04122642037142,26.252434064988513]}"
00000000000000002723,-0.353568,2120,FP049,B,54,2088.282708531998,0.0,"{""type"":""Point"",""coordinates"":[-81.03841296409861,26.252255559723405]}"
0000000000000000270b,-0.041182,1120,FP049,B,66,4876.15215075164,0.0,"{""type"":""Point"",""coordinates"":[-81.05737134760031,26.222469919343144]}"
00000000000000002248,-0.020754,2200,FP049,B,95,5140.552912653971,0.0,"{""type"":""Point"",""coordinates"":[-81.0676023668603,26.220811560452454]}"
000000000000000026f3,-0.321623,2200,FP049,B,85,1431.0298070651077,0.0,"{""type"":""Point"",""coordinates"":[-81.06171626670476,26.253869968275055]}"
000000000000000026fa,-0.300775,2200,FP049,B,98,1223.2424144529425,0.0,"{""type"":""Point"",""coordinates"":[-81.01923091323636,26.25058757398076]}"
00000000000000002715,-0.028027,2200,FP049,B,57,2694.9373021713336,0.0,"{""type"":""Point"",""coordinates"":[-81.09046903173308,26.243725127814628]}"
0000000000000000271c,-0.181413,2200,FP049,B,96,2494.2398363499337,0.0,"{""type"":""Point"",""coordinates"":[-81.05291383950554,26.244510310754578]}"
00000000000000002726,-0.1237,2200,FP049,B,82,1944.048678386761,0.0,"{""type"":""Point"",""coordinates"":[-81.00500958472493,26.239558242533327]}"
00000000000000002705,-0.131473,2210,FP049,B,88,1177.7786928763503,0.0,"{""type"":""Point"",""coordinates"":[-81.00521367581574,26.246644490754097]}"
00000000000000002263,-0.093077,2211,FP049,B,56,5082.640584818942,0.0,"{""type"":""Point"",""coordinates"":[-81.03940614536897,26.21995251670698]}"
00000000000000002267,-0.106378,2211,FP049,B,58,4630.805179898652,0.0,"{""type"":""Point"",""coordinates"":[-81.01959295452855,26.216092968171328]}"
00000000000000002269,0.002019,2211,FP049,B,68,5292.589883283272,0.0,"{""type"":""Point"",""coordinates"":[-81.0694999971215,26.21971701172631]}"
000000000000000026e0,-0.300775,2211,FP049,B,74,1910.4293836266716,0.0,"{""type"":""Point"",""coordinates"":[-81.0281688252563,26.253875982154387]}"
000000000000000026e2,-0.1237,2211,FP049,B,73,2310.8507009378955,0.0,"{""type"":""Point"",""coordinates"":[-81.00009910432708,26.237447242864086]}"
000000000000000026e7,-0.208706,2211,FP049,B,73,3944.5210970340377,0.0,"{""type"":""Point"",""coordinates"":[-81.04162224415806,26.233344540236253]}"
000000000000000026ef,-0.321623,2211,FP049,B,62,1685.6173608125653,0.0,"{""type"":""Point"",""coordinates"":[-81.06138695026317,26.25149458181881]}"
000000000000000026f5,-0.300775,2211,FP049,B,88,1839.9963676137052,0.0,"{""type"":""Point"",""coordinates"":[-81.027497824383,26.254077807927075]}"
000000000000000026f8,-0.150465,2211,FP049,B,91,2027.4392386600357,0.0,"{""type"":""Point"",""coordinates"":[-81.0102877602356,26.238513623550077]}"
000000000000000026fc,-0.159762,2211,FP049,B,81,764.7231331199865,0.0,"{""type"":""Point"",""coordinates"":[-81.00503988876724,26.250763575834988]}"
000000000000000026fd,-0.321623,2211,FP049,B,67,1296.2736917310608,0.0,"{""type"":""Point"",""coordinates"":[-81.0598825697501,26.25484784798449]}"
00000000000000002700,-0.252617,2211,FP049,B,70,1814.5234602849837,0.0,"{""type"":""Point"",""coordinates"":[-81.02134233757737,26.244697754348277]}"
00000000000000002702,-0.093077,2211,FP049,B,50,4950.439098114193,0.0,"{""type"":""Point"",""coordinates"":[-81.04157385469298,26.223049070362052]}"
00000000000000002708,-0.208706,2211,FP049,B,82,3312.733307986761,0.0,"{""type"":""Point"",""coordinates"":[-81.04289658137017,26.23894235666656]}"
00000000000000002709,-0.25901,2211,FP049,B,73,2696.273284561318,0.0,"{""type"":""Point"",""coordinates"":[-81.03390310357995,26.247182923234845]}"
0000000000000000270c,-0.154234,2211,FP049,B,74,2015.805631654875,0.0,"{""type"":""Point"",""coordinates"":[-81.06471094252593,26.24904588061331]}"
